Year,Round,College Code,College,Course,GM,1G,2AG,2BG,3AG,3BG,SCG,STG,GMH,1H,2AH,2BH,3AH,3BH,SCH,STH
2022,R1,E001,"E001 University of Visvesvaraya College of Engineering  Bangalore","AI Artificial Intelligence",4202,7418,6685,8120,5128,4822,19929,12296,,,,,,,,
2022,R1,E001,"E001 University of Visvesvaraya College of Engineering  Bangalore","CS Computers",1969,2910,3181,3894,2137,2262,9515,7407,,,,,,,,
2022,R1,E001,"E001 University of Visvesvaraya College of Engineering  Bangalore","IE Info.Science",3103,6287,3987,5209,3398,3717,15798,7598,,,,,,,,
2022,R1,E002,"E002 S K S J T Institute of Engineering.  Bangalore","CS Computers",10946,17335,15008,15744,12403,11833,26066,15320,,,,,,,,
2022,R1,E004,"E004 Dr. Ambedkar Institute Of Technology  Bangalore","CS Computers",7278,10108,10500,13847,8007,7816,18322,11438,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","AI Artificial Intelligence",336,1191,1310,2928,950,1051,6104,,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","CS Computers",158,782,823,530,525,437,2586,969,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","CY CS- Cyber Security",368,1109,1806,5253,,958,5329,3334,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","DS Comp. Sc. Engg- Data Sc.",287,,1089,3356,567,832,6285,3427,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","IE Info.Science",268,845,1034,2043,671,670,4647,3277,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","AD Artificial Intel, Data Sc",2233,3658,3899,,3358,2725,15859,9706,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","AI Artificial Intelligence",2124,3432,5047,3952,2303,2652,15084,7592,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","CA CS (AI, Machine Learning)",1223,3086,3054,5492,1632,2430,10005,8554,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","CS Computers",827,1824,1764,1135,1328,1318,3941,1021,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","CY CS- Cyber Security",1840,3241,3635,5763,2196,1927,15910,7879,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","IE Info.Science",1534,4167,3083,3897,2039,2096,11743,6946,,,,,,,,
2022,R1,E007,"E007 Dayananda Sagar College of Engineering  Bangalore","AI Artificial Intelligence",4830,7582,8383,12276,,5683,23720,14397,,,,,,,,
2022,R1,E007,"E007 Dayananda Sagar College of Engineering  Bangalore","CD Computer Sc. and Design",6962,13100,10218,12878,9226,,34513,19831,,,,,,,,
2022,R1,E007,"E007 Dayananda Sagar College of Engineering  Bangalore","CS Computers",3100,6090,4270,5310,3273,3509,15780,9173,,,,,,,,
2022,R1,E007,"E007 Dayananda Sagar College of Engineering  Bangalore","CY CS- Cyber Security",5333,,6993,13647,5393,6296,30072,,,,,,,,,
2022,R1,E007,"E007 Dayananda Sagar College of Engineering  Bangalore","DS Comp. Sc. Engg- Data Sc.",5159,10857,7423,10620,5293,6000,28066,,,,,,,,,
2022,R1,E007,"E007 Dayananda Sagar College of Engineering  Bangalore","IE Info.Science",4668,7467,6390,10356,4793,5183,23998,11814,,,,,,,,
2022,R1,E008,"E008 Bangalore Institute of Technology  Bangalore","AI Artificial Intelligence",6629,8848,9423,9561,7056,6836,35197,,,,,,,,,
2022,R1,E008,"E008 Bangalore Institute of Technology  Bangalore","CS Computers",3747,5114,5207,7235,3994,4303,17409,9870,,,,,,,,
2022,R1,E008,"E008 Bangalore Institute of Technology  Bangalore","DS Comp. Sc. Engg- Data Sc.",5469,13642,9034,11091,6187,,27545,15551,,,,,,,,
2022,R1,E008,"E008 Bangalore Institute of Technology  Bangalore","IE Info.Science",5573,6821,7951,7750,5606,6086,26090,10964,,,,,,,,
2022,R1,E008,"E008 Bangalore Institute of Technology  Bangalore","IO CS- Internet of Things",7599,13826,11045,16458,8570,9709,38789,,,,,,,,,
2022,R1,E008,"E008 Bangalore Institute of Technology  Bangalore","RI Robotics and AI",11595,17769,15001,18034,12115,12909,51071,36160,,,,,,,,
2022,R1,E009,"E009 P E S University (Ring Road Campus)  Bangalore","AI Artificial Intelligence",1301,4153,4919,6443,1596,2545,21248,11255,,,,,,,,
2022,R1,E009,"E009 P E S University (Ring Road Campus)  Bangalore","CS Computers",787,2529,2568,3741,1343,1561,10121,4628,,,,,,,,
2022,R1,E011,"E011 M V J College of Engineering  Bangalore","AI Artificial Intelligence",25248,33004,28032,,26450,25337,47721,25703,,,,,,,,
2022,R1,E011,"E011 M V J College of Engineering  Bangalore","CD Computer Sc. and Design",31596,40181,36041,40608,,33067,75020,,,,,,,,,
2022,R1,E011,"E011 M V J College of Engineering  Bangalore","CS Computers",16694,19718,19567,24816,17787,17007,39088,33063,,,,,,,,
2022,R1,E011,"E011 M V J College of Engineering  Bangalore","DS Comp. Sc. Engg- Data Sc.",26663,29372,28154,,27445,27599,56995,36342,,,,,,,,
2022,R1,E011,"E011 M V J College of Engineering  Bangalore","IE Info.Science",21176,21783,21956,23293,21258,21847,59670,37524,,,,,,,,
2022,R1,E012,"E012 Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","AI Artificial Intelligence",12196,12747,14044,15201,12987,13284,41112,,,,,,,,,
2022,R1,E012,"E012 Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","CS Computers",7806,11035,9782,8349,8016,8196,27882,13727,,,,,,,,
2022,R1,E012,"E012 Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","IE Info.Science",10576,12320,12156,13767,10838,10649,41045,19282,,,,,,,,
2022,R1,E012,"E012 Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","IO CS- Internet of Things",13448,21088,16535,16165,14280,18474,45097,,,,,,,,,
2022,R1,E014,"E014 S J C Institute of Technology  Chickballapur","AD Artificial Intel, Data Sc",39986,49300,46875,68379,42175,42207,79942,,,,,,,,,
2022,R1,E014,"E014 S J C Institute of Technology  Chickballapur","CA CS (AI, Machine Learning)",34208,52500,38694,43087,36496,47986,72941,,,,,,,,,
2022,R1,E014,"E014 S J C Institute of Technology  Chickballapur","CD Computer Sc. and Design",50134,62014,66665,77297,54484,62928,104748,,,,,,,,,
2022,R1,E014,"E014 S J C Institute of Technology  Chickballapur","CS Computers",22526,29887,27506,30049,23651,28852,59882,30308,,,,,,,,
2022,R1,E014,"E014 S J C Institute of Technology  Chickballapur","IE Info.Science",32149,41361,38396,33605,32191,33215,74724,49941,,,,,,,,
2022,R1,E015,"E015 Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District","CS Computers",44717,46919,53909,47484,50086,49270,74988,59243,,,,,,,,
2022,R1,E016,"E016 Siddaganga Institute of Technology  Tumkur","AD Artificial Intel, Data Sc",10256,15657,11684,14183,10655,10290,34408,,,,,,,,,
2022,R1,E016,"E016 Siddaganga Institute of Technology  Tumkur","CA CS (AI, Machine Learning)",8598,,9580,13336,9110,9243,31959,19859,,,,,,,,
2022,R1,E016,"E016 Siddaganga Institute of Technology  Tumkur","CS Computers",5050,7166,7922,10988,5098,5525,20456,10235,,,,,,,,
2022,R1,E016,"E016 Siddaganga Institute of Technology  Tumkur","IE Info.Science",7046,9492,9196,12620,7208,7472,28799,13389,,,,,,,,
2022,R1,E017,"E017 Sri Siddartha Institute of Technology  Tumkur","AI Artificial Intelligence",42790,52968,50502,42996,,45299,86254,69781,,,,,,,,
2022,R1,E017,"E017 Sri Siddartha Institute of Technology  Tumkur","CS Computers",26902,31307,33327,32397,28091,29403,54262,28523,,,,,,,,
2022,R1,E017,"E017 Sri Siddartha Institute of Technology  Tumkur","DS Comp. Sc. Engg- Data Sc.",35824,,43406,,,,83173,65431,,,,,,,,
2022,R1,E017,"E017 Sri Siddartha Institute of Technology  Tumkur","IE Info.Science",34820,43544,39449,61981,37036,35555,76177,45000,,,,,,,,
2022,R1,E018,"E018 Kalpatharu Institute of Technology  Tiptur","CS Computers",37832,41804,44782,63378,38060,41998,75351,48206,,,,,,,,
2022,R1,E018,"E018 Kalpatharu Institute of Technology  Tiptur","IE Info.Science",54036,54716,55898,81165,54798,54112,80409,59800,,,,,,,,
2022,R1,E021,"E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore","CS Computers",1567,2861,3049,2799,2055,1729,8590,1968,,,,,,,,
2022,R1,E028,"E028 Tontadarya College of Engineering  Gadag","CS Computers",45571,59361,53309,55632,47496,48578,83737,66756,,,,,,,,
2022,R1,E029,"E029 Maratha Mandal Engineering College  Belgaum","CS Computers",51614,60620,55410,59401,55934,52980,84448,65631,,,,,,,,
2022,R1,E031,"E031 Basaveshwara Engineering College  Bagalkot","CS Computers",14937,19407,18187,17117,16373,16378,38493,22169,,,,,,,,
2022,R1,E032,"E032 R.T.E Socity`s Rural Engineering College  Hulkoti","CS Computers",54384,67854,63842,55993,63270,58222,97366,69472,,,,,,,,
2022,R1,E033,"E033 Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur","CS Computers",51836,55902,63937,59395,72736,53359,76934,,,,,,,,,
2022,R1,E034,"E034 Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad","AI Artificial Intelligence",18594,25371,19953,35390,19175,19109,42642,,,,,,,,,
2022,R1,E034,"E034 Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad","CS Computers",8813,12166,12796,15367,9689,9796,27242,21449,,,,,,,,
2022,R1,E034,"E034 Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad","IE Info.Science",11580,23419,13297,19660,15340,12206,47715,,,,,,,,,
2022,R1,E036,"E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum","CF CS(Artificial Intel.)",19922,,26549,22525,23294,20768,79309,,,,,,,,,
2022,R1,E036,"E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum","CS Computers",15721,21714,18095,18237,19105,16706,44538,32223,,,,,,,,
2022,R1,E037,"E037 K.L.S. Gogte Institute of Technology  Belgaum","CS Computers",9044,12761,11999,12705,9801,9351,35157,20252,,,,,,,,
2022,R1,E037,"E037 K.L.S. Gogte Institute of Technology  Belgaum","IE Info.Science",11676,18869,14200,15510,15746,11744,48522,,,,,,,,,
2022,R1,E038,"E038 B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur","CA CS (AI, Machine Learning)",40957,50448,43418,47559,43330,42429,81977,,,,,,,,,
2022,R1,E038,"E038 B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur","CS Computers",28158,36694,33676,29944,35269,29649,49714,61724,,,,,,,,
2022,R1,E038,"E038 B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur","IE Info.Science",35956,41022,39205,44257,41507,36542,76354,,,,,,,,,
2022,R1,E040,"E040 Hira Sugar Institute of Technology  Belagavi District,","CS Computers",38931,51336,52238,54019,57326,39151,90895,68582,,,,,,,,
2022,R1,E042,"E042 Khaja Banda Nawaz University  Kalburgi","CS Computers",46336,,60028,49664,,70039,95382,81532,,,,,,,,
2022,R1,E043,"E043 Gurunanak Dev Engineering College  Bidar","CS Computers",30768,,35435,,51498,45034,64084,49988,,,,,,,,
2022,R1,E043,"E043 Gurunanak Dev Engineering College  Bidar","IE Info.Science",50946,,69880,,,59777,98386,,,,,,,,,
2022,R1,E044,"E044 Bheemanna Khandre Institute of Technology  Bhalki","CA CS (AI, Machine Learning)",59223,,71714,,,73070,128617,,,,,,,,,
2022,R1,E044,"E044 Bheemanna Khandre Institute of Technology  Bhalki","CS Computers",38442,56969,60020,,,48867,64113,,,,,,,,,
2022,R1,E045,"E045 Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari","CS Computers",38284,54685,51523,52410,48942,51010,57262,40962,,,,,,,,
2022,R1,E045,"E045 Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari","IE Info.Science",59470,,72598,,65863,,81922,64960,,,,,,,,
2022,R1,E046,"E046 H K Es S L N College of Engineering  Raichur","CS Computers",55626,,69293,73659,,,83871,,,,,,,,,
2022,R1,E047,"E047 Malnad College of Engineering  Hassan","CA CS (AI, Machine Learning)",16146,,21034,20813,,20435,44539,,,,,,,,,
2022,R1,E047,"E047 Malnad College of Engineering  Hassan","CS Computers",12041,20028,18295,14410,12681,13554,39747,21081,,,,,,,,
2022,R1,E047,"E047 Malnad College of Engineering  Hassan","IE Info.Science",19053,26681,24868,21033,20723,19313,49331,31407,,,,,,,,
2022,R1,E048,"E048 B M S College of Engineering  Basavanagudi,Bangalore","AD Artificial Intel, Data Sc",1940,4473,3896,10598,3112,3106,22248,,,,,,,,,
2022,R1,E048,"E048 B M S College of Engineering  Basavanagudi,Bangalore","AI Artificial Intelligence",1998,4275,4272,5073,3082,3044,19475,9556,,,,,,,,
2022,R1,E048,"E048 B M S College of Engineering  Basavanagudi,Bangalore","CS Computers",841,1812,1923,2365,1488,1465,6274,3419,,,,,,,,
2022,R1,E048,"E048 B M S College of Engineering  Basavanagudi,Bangalore","DS Comp. Sc. Engg- Data Sc.",1403,2079,2794,7608,,1993,14467,7326,,,,,,,,
2022,R1,E048,"E048 B M S College of Engineering  Basavanagudi,Bangalore","IE Info.Science",1363,3641,3098,4279,1902,2031,12538,6642,,,,,,,,
2022,R1,E048,"E048 B M S College of Engineering  Basavanagudi,Bangalore","IO CS- Internet of Things",1538,,3461,9097,,2896,23955,13387,,,,,,,,
2022,R1,E049,"E049 Basaveshwara Engineering College  Bagalkot","AI Artificial Intelligence",31191,47183,33232,39818,36349,32569,83133,,,,,,,,,
2022,R1,E049,"E049 Basaveshwara Engineering College  Bagalkot","CS Computers",18486,22975,19692,22827,19520,18570,47643,,,,,,,,,
2022,R1,E049,"E049 Basaveshwara Engineering College  Bagalkot","IE Info.Science",23849,32310,28644,28898,25901,24467,74766,60000,,,,,,,,
2022,R1,E054,"E054 K V G College of Engineering  Sullia,D.K District","CS Computers",59690,80958,68332,82528,62372,67419,109990,71358,,,,,,,,
2022,R1,E057,"E057 JSS Science and Technology University(Formerly SJCE)  Mysore","CS Computers",2575,4366,4618,5315,2674,3211,15305,7940,,,,,,,,
2022,R1,E057,"E057 JSS Science and Technology University(Formerly SJCE)  Mysore","IE Info.Science",3605,6480,5254,6615,3616,3980,23522,8393,,,,,,,,
2022,R1,E058,"E058 P E S College of Engineering  Mandya","CA CS (AI, Machine Learning)",20024,25467,23226,24647,20071,20249,66342,,,,,,,,,
2022,R1,E058,"E058 P E S College of Engineering  Mandya","CS Computers",14021,20341,16329,18179,14239,15739,37311,15783,,,,,,,,
2022,R1,E058,"E058 P E S College of Engineering  Mandya","IE Info.Science",17089,24933,18786,22063,17116,17628,54392,,,,,,,,,
2022,R1,E059,"E059 P D A College of Engineering  Gulbarga","AI Artificial Intelligence",40339,,42403,,,,63110,74009,,,,,,,,
2022,R1,E059,"E059 P D A College of Engineering  Gulbarga","CD Computer Sc. and Design",38478,,52085,,56095,,75443,,,,,,,,,
2022,R1,E059,"E059 P D A College of Engineering  Gulbarga","CS Computers",20819,27798,25723,,21590,21018,33790,,,,,,,,,
2022,R1,E059,"E059 P D A College of Engineering  Gulbarga","IE Info.Science",31976,45521,38005,,,,52807,48657,,,,,,,,
2022,R1,E060,"E060 Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","AI Artificial Intelligence",14685,,19913,16079,16316,16790,41697,36087,,,,,,,,
2022,R1,E060,"E060 Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","CS Computers",10815,15159,12406,13743,11054,11224,28437,17797,,,,,,,,
2022,R1,E060,"E060 Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","IE Info.Science",12866,16785,14577,16780,13610,12921,40656,,,,,,,,,
2022,R1,E061,"E061 University B.D.T. college of Engineering  Davangere","CS Computers",14132,17832,18377,19128,16667,16493,31364,18326,,,,,,,,
2022,R1,E062,"E062 Bapuji Institute of Engineering and Technology  Davangere","AI Artificial Intelligence",33763,36190,38516,36484,36377,34963,80427,,,,,,,,,
2022,R1,E062,"E062 Bapuji Institute of Engineering and Technology  Davangere","CD Computer Sc. and Design",43105,57084,49545,43910,49438,43573,112180,69667,,,,,,,,
2022,R1,E062,"E062 Bapuji Institute of Engineering and Technology  Davangere","CS Computers",15476,22142,20080,18006,19289,16472,47799,21151,,,,,,,,
2022,R1,E062,"E062 Bapuji Institute of Engineering and Technology  Davangere","DS Comp. Sc. Engg- Data Sc.",31045,48972,35354,40227,36952,31674,78410,,,,,,,,,
2022,R1,E062,"E062 Bapuji Institute of Engineering and Technology  Davangere","IE Info.Science",28004,30794,32516,36790,33598,28693,76429,41744,,,,,,,,
2022,R1,E063,"E063 Sri Jagadguru Murugharajendra University (Formerly SJMIT)  Chitradurga","CS Computers",50891,51655,73869,54624,59929,54887,93033,65333,,,,,,,,
2022,R1,E064,"E064 Adhichunchanagiri Institute of Technology  Chickmagalur","AI Artificial Intelligence",42389,47836,49708,71281,43400,44147,102410,,,,,,,,,
2022,R1,E064,"E064 Adhichunchanagiri Institute of Technology  Chickmagalur","CS Computers",25408,37752,31285,31217,26435,25876,70099,38263,,,,,,,,
2022,R1,E064,"E064 Adhichunchanagiri Institute of Technology  Chickmagalur","DS Comp. Sc. Engg- Data Sc.",43928,51596,47156,91624,50826,,134807,74044,,,,,,,,
2022,R1,E064,"E064 Adhichunchanagiri Institute of Technology  Chickmagalur","IE Info.Science",33138,42614,35550,,33727,33217,92226,70837,,,,,,,,
2022,R1,E065,"E065 Jawaharlal Nehru National College of Engineering  Shimoga","AI Artificial Intelligence",26318,41746,39010,27911,36743,26948,77779,,,,,,,,,
2022,R1,E065,"E065 Jawaharlal Nehru National College of Engineering  Shimoga","CS Computers",14453,16980,20144,24628,18069,16556,45963,23098,,,,,,,,
2022,R1,E065,"E065 Jawaharlal Nehru National College of Engineering  Shimoga","IE Info.Science",25161,32643,31020,40875,27093,27480,69977,39406,,,,,,,,
2022,R1,E071,"E071 Vidya Vardhaka College of Engineering  Mysuru","CA CS (AI, Machine Learning)",14975,21316,17426,19662,15986,17594,57539,17545,,,,,,,,
2022,R1,E071,"E071 Vidya Vardhaka College of Engineering  Mysuru","CS Computers",9993,13812,11869,16364,10717,10188,29982,20261,,,,,,,,
2022,R1,E071,"E071 Vidya Vardhaka College of Engineering  Mysuru","IE Info.Science",12596,15210,14054,18933,13154,12665,41444,20934,,,,,,,,
2022,R1,E075,"E075 Ballari Institute of Technology and Management  Near Allipur Bellary","AI Artificial Intelligence",46884,63302,67401,54379,56207,51491,111224,,,,,,,,,
2022,R1,E075,"E075 Ballari Institute of Technology and Management  Near Allipur Bellary","CF CS(Artificial Intel.)",35419,,49604,,,46080,85219,48150,,,,,,,,
2022,R1,E075,"E075 Ballari Institute of Technology and Management  Near Allipur Bellary","CS Computers",19536,28611,24031,27902,25722,,39223,34223,,,,,,,,
2022,R1,E075,"E075 Ballari Institute of Technology and Management  Near Allipur Bellary","DS Comp. Sc. Engg- Data Sc.",33009,,58361,,39287,,42202,,,,,,,,,
2022,R1,E076,"E076 Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT","CS Computers",55416,71351,72842,64789,,59580,76611,,,,,,,,,
2022,R1,E077,"E077 Vidya Vikas Institute of Engineering and Technology  Mysuru","CS Computers",24405,33485,30128,26543,24554,25882,54485,,,,,,,,,
2022,R1,E077,"E077 Vidya Vikas Institute of Engineering and Technology  Mysuru","IE Info.Science",31286,41061,33724,43972,32013,33087,75011,,,,,,,,,
2022,R1,E078,"E078 The Oxford College of Engineering  Bangalore","AI Artificial Intelligence",35346,,40343,46362,37307,37253,85765,,,,,,,,,
2022,R1,E078,"E078 The Oxford College of Engineering  Bangalore","CS Computers",24522,25719,29974,33725,26091,26351,55957,44615,,,,,,,,
2022,R1,E078,"E078 The Oxford College of Engineering  Bangalore","IE Info.Science",32847,36369,35732,42802,32995,34275,74241,56361,,,,,,,,
2022,R1,E079,"E079 Acharya Institute of Technology  Bangalore","AI Artificial Intelligence",25845,26546,29448,31833,26416,27339,69674,44612,,,,,,,,
2022,R1,E079,"E079 Acharya Institute of Technology  Bangalore","CS Computers",14749,18046,16866,24734,14924,15214,42058,24256,,,,,,,,
2022,R1,E079,"E079 Acharya Institute of Technology  Bangalore","DS Comp. Sc. Engg- Data Sc.",23221,32134,27159,29990,25114,24343,60636,,,,,,,,,
2022,R1,E079,"E079 Acharya Institute of Technology  Bangalore","IE Info.Science",17663,19147,18725,28009,17820,17854,59572,28392,,,,,,,,
2022,R1,E082,"E082 J S S Academy of Technical Education  Bangalore","CA CS (AI, Machine Learning)",16303,21467,20223,27039,17142,17839,58825,41302,,,,,,,,
2022,R1,E082,"E082 J S S Academy of Technical Education  Bangalore","CS Computers",10213,14161,13949,19203,10461,10792,44245,19671,,,,,,,,
2022,R1,E082,"E082 J S S Academy of Technical Education  Bangalore","IE Info.Science",14046,18574,16427,26804,14762,14865,59937,30884,,,,,,,,
2022,R1,E082,"E082 J S S Academy of Technical Education  Bangalore","RA Robotics and Automation",30063,,41058,59816,,,122864,79862,,,,,,,,
2022,R1,E083,"E083 H.K.B.K.College of Engineering  Bangalore","AI Artificial Intelligence",53536,61739,60272,58064,58141,55049,110458,,,,,,,,,
2022,R1,E083,"E083 H.K.B.K.College of Engineering  Bangalore","CS Computers",39398,44205,45088,44091,40261,40306,73782,60299,,,,,,,,
2022,R1,E083,"E083 H.K.B.K.College of Engineering  Bangalore","IE Info.Science",49784,52553,56233,50979,50174,52590,103743,64039,,,,,,,,
2022,R1,E085,"E085 APS College of Engineering  Somanahalli, Bangalore","CS Computers",32614,35853,38853,39091,34617,38179,73688,,,,,,,,,
2022,R1,E085,"E085 APS College of Engineering  Somanahalli, Bangalore","IE Info.Science",45857,53937,54779,60899,46768,52885,87008,,,,,,,,,
2022,R1,E086,"E086 Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore","AI Artificial Intelligence",55187,57992,69817,80778,58608,57649,112379,,,,,,,,,
2022,R1,E086,"E086 Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore","CS Computers",43120,48891,46183,56058,43223,44078,81503,51231,,,,,,,,
2022,R1,E086,"E086 Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore","IE Info.Science",53332,,59928,57823,55034,54196,88429,58459,,,,,,,,
2022,R1,E087,"E087 Vivekananada Institute of Technology  Bangalore","AI Artificial Intelligence",54009,58656,69133,67791,56771,56495,120740,,,,,,,,,
2022,R1,E087,"E087 Vivekananada Institute of Technology  Bangalore","CS Computers",36937,42230,46586,53464,37839,41004,73464,47467,,,,,,,,
2022,R1,E087,"E087 Vivekananada Institute of Technology  Bangalore","IE Info.Science",46753,54308,50362,54305,47693,50396,97481,,,,,,,,,
2022,R1,E088,"E088 Bangalore College of Engineering and Technology  Chandapura, Bangalore","CS Computers",33655,37303,37149,,35294,,56631,72096,,,,,,,,
2022,R1,E088,"E088 Bangalore College of Engineering and Technology  Chandapura, Bangalore","IE Info.Science",48524,,53137,,,55184,81582,,,,,,,,,
2022,R1,E090,"E090 Sri Revana Siddeswara Institute of Technology  Bangalore North","CS Computers",36296,50892,45314,,38426,39304,74500,,,,,,,,,
2022,R1,E091,"E091 K S Institute of Technology  Bangalore","AI Artificial Intelligence",32947,34790,36714,34432,34949,36996,120146,,,,,,,,,
2022,R1,E091,"E091 K S Institute of Technology  Bangalore","CD Computer Sc. and Design",39585,,51699,,40976,49817,123426,69639,,,,,,,,
2022,R1,E091,"E091 K S Institute of Technology  Bangalore","CS Computers",24364,30220,28565,28029,25019,25711,70672,50485,,,,,,,,
2022,R1,E091,"E091 K S Institute of Technology  Bangalore","IO CS- Internet of Things",38009,40089,41882,51850,,,118109,62396,,,,,,,,
2022,R1,E092,"E092 Vemana Institute of Technology  Bangalore","AI Artificial Intelligence",51739,56176,62124,60585,52548,52961,77993,,,,,,,,,
2022,R1,E092,"E092 Vemana Institute of Technology  Bangalore","CS Computers",36955,39157,42593,42106,37133,38495,66607,61695,,,,,,,,
2022,R1,E092,"E092 Vemana Institute of Technology  Bangalore","IE Info.Science",48309,53924,55426,60616,49796,49764,104780,66847,,,,,,,,
2022,R1,E094,"E094 Coorg Institute of Technology  Kodagu","CS Computers",45507,70222,69672,50670,47145,58046,112669,,,,,,,,,
2022,R1,E095,"E095 AMC Engineering College  Bangalore","AI Artificial Intelligence",41424,52305,56789,44986,42286,,58152,72387,,,,,,,,
2022,R1,E095,"E095 AMC Engineering College  Bangalore","CA CS (AI, Machine Learning)",47052,48342,55391,47160,47780,53020,101580,71676,,,,,,,,
2022,R1,E095,"E095 AMC Engineering College  Bangalore","CS Computers",30869,36835,35994,38618,33026,32420,61062,37536,,,,,,,,
2022,R1,E095,"E095 AMC Engineering College  Bangalore","DS Comp. Sc. Engg- Data Sc.",46082,50195,59784,48814,46393,50672,109938,74846,,,,,,,,
2022,R1,E095,"E095 AMC Engineering College  Bangalore","IE Info.Science",38330,38964,44262,44034,38353,39787,89283,44046,,,,,,,,
2022,R1,E096,"E096 East Point College of Engineering and Technology  Bangalore","AD Artificial Intel, Data Sc",55533,57964,67205,58487,55700,55726,103138,,,,,,,,,
2022,R1,E096,"E096 East Point College of Engineering and Technology  Bangalore","CS Computers",33328,33373,38675,44197,34519,34597,42081,36424,,,,,,,,
2022,R1,E096,"E096 East Point College of Engineering and Technology  Bangalore","IE Info.Science",48106,57523,54609,50365,48573,50679,84603,56142,,,,,,,,
2022,R1,E097,"E097 C M R Institute of Technology  Bangalore","AD Artificial Intel, Data Sc",22888,24810,25193,30082,23188,24115,61358,27440,,,,,,,,
2022,R1,E097,"E097 C M R Institute of Technology  Bangalore","AI Artificial Intelligence",20394,24690,24090,28908,21313,20583,63606,51072,,,,,,,,
2022,R1,E097,"E097 C M R Institute of Technology  Bangalore","CA CS (AI, Machine Learning)",16174,18677,23041,16538,16824,19375,41155,,,,,,,,,
2022,R1,E097,"E097 C M R Institute of Technology  Bangalore","CS Computers",10280,11220,13371,17443,10915,12551,34648,19355,,,,,,,,
2022,R1,E097,"E097 C M R Institute of Technology  Bangalore","DS Comp. Sc. Engg- Data Sc.",17165,19032,19524,30205,17830,19294,39240,22634,,,,,,,,
2022,R1,E097,"E097 C M R Institute of Technology  Bangalore","IE Info.Science",14017,17933,15675,20566,14714,14211,46942,26938,,,,,,,,
2022,R1,E098,"E098 Atria Institute of Technology  Bangalore","CD Computer Sc. and Design",49355,58255,62354,54430,53495,63847,124473,59156,,,,,,,,
2022,R1,E098,"E098 Atria Institute of Technology  Bangalore","CS Computers",23976,26810,27038,26070,24244,25432,56180,39258,,,,,,,,
2022,R1,E098,"E098 Atria Institute of Technology  Bangalore","DS Comp. Sc. Engg- Data Sc.",35738,50585,45995,36301,36338,37200,104043,,,,,,,,,
2022,R1,E098,"E098 Atria Institute of Technology  Bangalore","IE Info.Science",33170,33391,37891,34005,34547,33991,94971,55862,,,,,,,,
2022,R1,E099,"E099 New Horizon College of Engineering  Bangalore","AI Artificial Intelligence",15969,19781,18364,21692,17017,20336,27645,25348,,,,,,,,
2022,R1,E099,"E099 New Horizon College of Engineering  Bangalore","CO Computer Engineering",16177,,20736,28980,16247,23042,31106,,,,,,,,,
2022,R1,E099,"E099 New Horizon College of Engineering  Bangalore","CS Computers",6932,9672,10616,12183,8115,8412,22023,14797,,,,,,,,
