Year,Round,College Code,College,Course,GM,1G,2AG,2BG,3AG,3BG,SCG,STG,GMH,1H,2AH,2BH,3AH,3BH,SCH,STH
2025,R3,E038,"E038 BLDEA's VP. Dr.P.G. Hallakatti College of Engineering & Technology, Bijapur ASHRAM ROAD,BIJAPUR - 586103","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",44110,48813,62681,50474,57322,45636,87182,182199,,,,,,,,
2025,R3,E038,"E038 BLDEA's VP. Dr.P.G. Hallakatti College of Engineering & Technology, Bijapur ASHRAM ROAD,BIJAPUR - 586103","COMPUTER SCIENCE AND ENGINEERING",47235,83858,75229,51859,78170,57765,84548,129921,,,,,,,,
2025,R3,E043,"E043 Gurunanak Dev Engineering College, Bidar MAILOOR ROAD,BIDAR 585403","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",53740,,156824,,185945,,110517,,,,,,,,,
2025,R3,E043,"E043 Gurunanak Dev Engineering College, Bidar MAILOOR ROAD,BIDAR 585403","COMPUTER SCIENCE AND ENGINEERING",57056,108383,179395,87919,,86955,111567,95403,,,,,,,,
2025,R3,E044,"E044 Bheemanna Khandre Institute of Technology, Bhalki BHALKI-HUMNABAD ROAD,BHALKI- 585328,DIST. BIDAR","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",59474,,118185,,,80808,118527,106866,,,,,,,,
2025,R3,E047,"E047 Malnad College of Engineering, Hassan(AUTONOMOUS) P.B. NO. 21, SALAGAME ROAD,HASSSAN","COMPUTER SCIENCE AND BUSINESS SYSTEMS",57627,78038,72462,60124,59526,66840,133015,101612,,,,,,,,
2025,R3,E047,"E047 Malnad College of Engineering, Hassan(AUTONOMOUS) P.B. NO. 21, SALAGAME ROAD,HASSSAN","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",33073,,59453,35125,,34385,91626,94315,,,,,,,,
2025,R3,E047,"E047 Malnad College of Engineering, Hassan(AUTONOMOUS) P.B. NO. 21, SALAGAME ROAD,HASSSAN","COMPUTER SCIENCE AND ENGINEERING",38845,74061,59093,65458,49879,47359,99749,104104,,,,,,,,
2025,R3,E047,"E047 Malnad College of Engineering, Hassan(AUTONOMOUS) P.B. NO. 21, SALAGAME ROAD,HASSSAN","ROBOTICS AND ARTIFICIAL INTELLIGENCE",56488,60262,87127,58887,68410,63027,196791,,,,,,,,,
2025,R3,E048,"E048 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",4646,6385,6664,8642.5,5588,5757,16707,11127,,,,,,,,
2025,R3,E048,"E048 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",5087.5,7092,6902,10060,6606.5,5870,24580,28703,,,,,,,,
