Year,Round,College Code,College,Course,3AG,3AH,3AK,3AKH,3AR,3ARH,GM,GMH,GMK,GMKH,GMR,GMRH
2022,R1,E057,"JSS Science and Technology University(Formerly SJCE) Mysore","Information Science and Engineering",3616,,,,,,3605,,7759,,4876,
2022,R1,E058,"P E S College of Engineering Mandya","Computer Science (AI and Machine Learning)",20071,,,,,,20024,,,,23336,
2022,R1,E058,"P E S College of Engineering Mandya","Computer Science and Engineering",14239,,,,,,14021,,16187,,15624,
2022,R1,E058,"P E S College of Engineering Mandya","Information Science and Engineering",17116,,,,,,17089,,25453,,17734,
2022,R1,E059,"P D A College of Engineering Gulbarga","Artificial Intelligence and Machine Learning",,,,,,,40339,,49567,,53550,
2022,R1,E059,"P D A College of Engineering Gulbarga","Computer Science and Design",56095,,,,,,38478,,,,,
2022,R1,E059,"P D A College of Engineering Gulbarga","Computer Science and Engineering",21590,,,,,,20819,,,,23708,
2022,R1,E059,"P D A College of Engineering Gulbarga","Information Science and Engineering",,,,,,,31976,,,,45243,
2022,R1,E060,"Dr. Ambedkar Institute Of Technology Jnanabharathi Campus,Bangalore","Artificial Intelligence and Machine Learning",16316,,,,,,14685,,28202,,18645,
2022,R1,E060,"Dr. Ambedkar Institute Of Technology Jnanabharathi Campus,Bangalore","Computer Science and Engineering",11054,,,,,,10815,,17499,,11534,
2022,R1,E060,"Dr. Ambedkar Institute Of Technology Jnanabharathi Campus,Bangalore","Information Science and Engineering",13610,,,,,,12866,,18470,,14152,
2022,R1,E061,"University B.D.T. college of Engineering Davangere","Computer Science and Engineering",16667,,,,,,14132,,20919,,16158,
2022,R1,E062,"Bapuji Institute of Engineering and Technology Davangere","Artificial Intelligence and Machine Learning",36377,,,,,,33763,,46412,,42028,
2022,R1,E062,"Bapuji Institute of Engineering and Technology Davangere","Computer Science and Design",49438,,,,,,43105,,,,47150,
2022,R1,E062,"Bapuji Institute of Engineering and Technology Davangere","Computer Science and Engineering",19289,,,,,,15476,,19235,,18665,
2022,R1,E062,"Bapuji Institute of Engineering and Technology Davangere","Computer Science and Engineering - Data Science",36952,,,,61558,,31045,,,,37853,
2022,R1,E062,"Bapuji Institute of Engineering and Technology Davangere","Information Science and Engineering",33598,,,,35771,,28004,,32415,,30887,
2022,R1,E063,"Sri Jagadguru Murugharajendra University (Formerly SJMIT) Chitradurga","Computer Science and Engineering",59929,,,,,,50891,,52344,,65388,
2022,R1,E064,"Adhichunchanagiri Institute of Technology Chickmagalur","Artificial Intelligence and Machine Learning",43400,,,,,,42389,,62780,,58252,
2022,R1,E064,"Adhichunchanagiri Institute of Technology Chickmagalur","Computer Science and Engineering",26435,,,,,,25408,,32226,,29590,
2022,R1,E064,"Adhichunchanagiri Institute of Technology Chickmagalur","Computer Science and Engineering - Data Science",50826,,,,53273,,43928,,54752,,49176,
2022,R1,E064,"Adhichunchanagiri Institute of Technology Chickmagalur","Information Science and Engineering",33727,,,,,,33138,,41174,,36169,
2022,R1,E065,"Jawaharlal Nehru National College of Engineering Shimoga","Artificial Intelligence and Machine Learning",36743,,,,,,26318,,42472,,35790,
2022,R1,E065,"Jawaharlal Nehru National College of Engineering Shimoga","Computer Science and Engineering",18069,,,,18930,,14453,,22267,,18909,
2022,R1,E065,"Jawaharlal Nehru National College of Engineering Shimoga","Information Science and Engineering",27093,,,,,,25161,,26583,,30558,
2022,R1,E071,"Vidya Vardhaka College of Engineering Mysuru","Computer Science (AI and Machine Learning)",15986,,,,20570,,14975,,22997,,18599,
